School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
St. Martin's in the Field Episcopal School,St. Martin's in the Field Episcopal School,Anne Arundel,2,2/24/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,2/24/2021,15:00:00+00
The Country School,The Country School,Talbot,5,2/24/2021,15:00:00+00
The Primary Day School,The Primary Day School,Montgomery,8,2/24/2021,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,2,2/24/2021,15:00:00+00
Arundel Christian School,Arundel Christian School,Anne Arundel,3,3/3/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,5,3/3/2021,15:00:00+00
Calvary Baptist Church Academy,Calvary Baptist Church Academy,Anne Arundel,8,3/3/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,3,3/3/2021,15:00:00+00
Friends School of Baltimore,Friends School of Baltimore,Baltimore City,2,3/3/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary,Carroll,2,3/3/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,2,3/3/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,4,3/3/2021,15:00:00+00
Odenton Christian School,Odenton Christian School,Anne Arundel,2,3/3/2021,15:00:00+00
Redeemer Classical Christian School,Redeemer Classical Christian School,Baltimore,3,3/3/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,3/3/2021,15:00:00+00
South Carroll High School,South Carroll High,Carroll,4,3/3/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle,St. Mary's,2,3/3/2021,15:00:00+00
Saint John's Catholic Preparatory School,St. John's Catholic Preparatory School,Frederick,7,3/3/2021,15:00:00+00
St. Martin's in the Field Episcopal School,St. Martin's in the Field Episcopal School,Anne Arundel,2,3/3/2021,15:00:00+00
St. Thomas More Academy,St. Thomas More Academy,Frederick,6,3/3/2021,15:00:00+00
The Country School,The Country School,Talbot,7,3/3/2021,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,2,3/3/2021,15:00:00+00
Arundel Christian School,Arundel Christian School,Anne Arundel,3,3/3/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,5,3/3/2021,15:00:00+00
Calvary Baptist Church Academy,Calvary Baptist Church Academy,Anne Arundel,8,3/3/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,3,3/3/2021,15:00:00+00
Friends School of Baltimore,Friends School of Baltimore,Baltimore City,2,3/3/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary,Carroll,2,3/3/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,2,3/3/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,4,3/3/2021,15:00:00+00
Odenton Christian School,Odenton Christian School,Anne Arundel,2,3/3/2021,15:00:00+00
Redeemer Classical Christian School,Redeemer Classical Christian School,Baltimore,3,3/3/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,3/3/2021,15:00:00+00
South Carroll High School,South Carroll High,Carroll,4,3/3/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle,St. Mary's,2,3/3/2021,15:00:00+00
Saint John's Catholic Preparatory School,St. John's Catholic Preparatory School,Frederick,7,3/3/2021,15:00:00+00
St. Martin's in the Field Episcopal School,St. Martin's in the Field Episcopal School,Anne Arundel,2,3/3/2021,15:00:00+00
St. Thomas More Academy,St. Thomas More Academy,Frederick,6,3/3/2021,15:00:00+00
The Country School,The Country School,Talbot,7,3/3/2021,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,2,3/3/2021,15:00:00+00
Arundel Christian School,Arundel Christian School,Anne Arundel,3,3/10/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,4,3/10/2021,15:00:00+00
The Bryn Mawr School,The Bryn Mawr School,Baltimore City,2,3/10/2021,15:00:00+00
Friendship Valley Elementary,Friendship Valley Elementary,Carroll,2,3/10/2021,15:00:00+00
Garrison Forest School,Garrison Forest School,Baltimore,2,3/10/2021,15:00:00+00
Leith Walk Elementary/Middle School,Leith Walk Elementary/Middle School,Baltimore City,2,3/10/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary,Carroll,5,3/10/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,4,3/10/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,4,3/10/2021,15:00:00+00
Ner Israel Rabbinical College,Ner Israel Rabbinical College,Baltimore,4,3/10/2021,15:00:00+00
Odenton Christian School,Odenton Christian School,Anne Arundel,2,3/10/2021,15:00:00+00
Redeemer Classical Christian School,Redeemer Classical Christian School,Baltimore,4,3/10/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,5,3/10/2021,15:00:00+00
Saint John's Catholic Preparatory School,St. John's Catholic Preparatory School,Frederick,10,3/10/2021,15:00:00+00
St. Maria Goretti High School,St. Maria Goretti High School,Washington,4,3/10/2021,15:00:00+00
St. Michael - St. Clement School,St. Michael - St. Clement School,Baltimore,3,3/10/2021,15:00:00+00
St. Thomas More Academy,St. Thomas More Academy,Frederick,10,3/10/2021,15:00:00+00
St. Ursula School,St. Ursula School,Baltimore,2,3/10/2021,15:00:00+00
The Country School,The Country School,Talbot,7,3/10/2021,15:00:00+00
West Frederick Middle School,West Frederick Middle School,Frederick,2,3/10/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,7,3/10/2021,15:00:00+00
